type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
type 0, code 0, value 0
